subject_id,location,pcommon,sigma_v,sigma_a,sigma_p,mu_p,error,bic,r2,strategy,fit_type
SV009,blindspot,0.1108979216871718,1.0933674490021914,0.24431047967508115,1.6273807139854886,0.004127037157413669,2765.3842260652286,5574.266025871509,0.9803229666914264,Averaging,mll
SV012,blindspot,0.5881811638890343,2.981798059224008,0.2429711720455746,2.830979715079835,2.476229092549536,1789.7639383254946,3623.02545039204,0.9997362827891015,Selection,mll
SV013,blindspot,0.6956810110852469,2.1609531183969533,0.233853556399404,0.9580756820405804,1.8068600247681246,1274.472580430094,2592.442734601239,0.9997387068754473,Averaging,mll
SV017,blindspot,0.00019938670551129022,1.3692826189430058,0.15328262336854181,0.791208053797296,1.3087354883874271,1635.854887710394,3315.207349161839,0.9988166928742063,Averaging,mll
SV018,blindspot,0.9683862948118885,2.6612351750555034,0.1574943901602532,1.0020538679447002,2.684499965778627,682.7082596985783,1408.9140931382076,0.9999046368973517,Matching,mll
SV019,blindspot,0.14604199384568434,2.932635717309419,0.12872809752825642,0.7492584046187528,1.8181881346747046,277.22082435448215,597.9392224500152,0.9999801652793917,Selection,mll
SV020,blindspot,0.6434438939063802,1.9175095108470954,0.25806617488624023,1.059673067866035,1.9738980454944628,1640.1111531356992,3323.7198800124493,0.9996382169446758,Averaging,mll
SV021,blindspot,0.9129517161466649,2.768858634270509,0.13607397127795404,1.8972870190175917,2.8703838852946792,868.2474623273547,1779.9924983957603,0.9998916268855255,Averaging,mll
SV022,blindspot,0.2802632240750641,2.3544844309661603,0.2301226649965979,1.104440513745727,1.8693897171542149,2023.2673308739818,4090.0322354890145,0.9993246675852887,Matching,mll
SV023,blindspot,0.9193197272573695,1.4515142943970358,0.19951890217475218,1.662184641336323,2.350484306199578,1296.3065162636444,2636.11060626834,0.9996140272108421,Averaging,mll
SV024,blindspot,0.32155325607048973,2.548781851149294,0.19454671573636872,0.9830004615957899,1.9318679224906878,1171.072959521061,2385.643492783173,0.9998012447256532,Averaging,mll
SV025,blindspot,0.2102079572638421,1.7451300072499372,0.13456196042385393,0.926663304703266,1.9647563528476117,1632.7408972840838,3308.9793683092184,0.9992605998009153,Matching,mll
SV026,blindspot,0.6562769534148308,1.198152695002473,0.2379850605407955,0.36052843998875594,2.39657047942165,969.7640559008902,1983.0256855428313,0.9992900899586548,Selection,mll
SV027,blindspot,0.14329965412836984,1.8109247590586475,0.2137866143659331,1.4744029218873647,0.18855655447396255,1903.9795430193728,3851.4566597797966,0.9977908519884685,Selection,mll
SV028,blindspot,0.6065826174589805,2.287178356857683,0.49498070969605984,1.0103731810150447,1.8296947005208095,2382.8712358664634,4809.240045473978,0.9993457875396714,Averaging,mll
SV029,blindspot,0.42671836635043436,1.8535785960170956,0.21038610005527758,0.7246975394773704,2.0965153789679944,1108.372128773952,2260.241831288955,0.9997208741409915,Selection,mll
SV030,blindspot,0.6992542035294972,1.2775528005583507,0.13558447854900432,0.14938269355913125,2.47056713175979,731.7692861290633,1507.0361459991775,0.9998349200190851,Matching,mll
SV031,blindspot,0.6848872919731877,1.4268296724804705,0.1927844456969721,0.6427589240350918,2.2749383961710854,829.2832436449609,1702.0640610309727,0.9994775285763772,Selection,mll
SV032,blindspot,0.03711202284367752,1.523085828268087,0.13727244017753434,0.6767435496217357,1.3356555563840469,1674.036163778991,3391.569901299033,0.9899502118686,Selection,mll
SV033,blindspot,0.5433211740030648,1.7199623542535,0.15253793054115328,1.0966144717477382,1.7986610268061538,1576.0044307196933,3195.5064351804376,0.9991392680707909,Averaging,mll
SV009,control,0.14912071736490276,1.7648349510280423,0.2369618834046412,1.110336700471149,2.628768327802818,1857.720815004745,3758.939203750541,0.954237032081201,Selection,mll
SV012,control,0.858142107625078,0.8682626324363323,0.1330853542988875,1.0954974366145254,3.3505010904125725,1023.066296654919,2089.630167050889,0.9994908361116229,Matching,mll
SV013,control,0.8927298541137437,0.5269686523937565,0.19143302029373951,0.5808485752465485,1.8955769358682228,1021.1935423454768,2085.8846584320045,0.999654736564487,Averaging,mll
SV017,control,0.24024115953711742,1.8629851347391782,0.13531441499049554,0.6812088067804934,1.9366352209559676,354.5044091018653,752.5063919447815,0.9999756330158884,Selection,mll
SV018,control,0.8867121845581558,0.6905211678414501,0.16073716654324524,0.7962855726467494,3.268615936466131,701.9431227908384,1447.3838193227277,0.9999521352833959,Selection,mll
SV019,control,0.18893501984320035,2.132733008527029,0.16841813340436027,0.6711797675731171,1.8581652613223054,271.51596740604987,586.5295085531507,0.9999742806692559,Selection,mll
SV020,control,0.78660090423769,1.7071405978163772,0.17133662071841205,0.8823132206778999,2.281264265355795,1235.8201267657344,2515.1378272725196,0.999837029754568,Matching,mll
SV021,control,0.9673425353330076,0.8148621079476345,0.1626781411791275,0.9988295390263064,3.4967732820994883,642.5286568224603,1328.5548873859716,0.9999826806230016,Averaging,mll
SV022,control,0.4663624378043777,2.5146617871895005,0.1999723116746828,1.067530587432212,2.2797867215955168,1458.2280642135786,2959.953702168208,0.9994994337968902,Averaging,mll
SV023,control,0.9774246965856315,1.3424491416817963,0.1936004421926053,1.5926345191503362,3.0713402473292186,931.7400241659085,1906.977622072868,0.9999512360164949,Matching,mll
SV024,control,0.271041646709953,1.0565988952451282,0.2303521175173338,0.45888624719163923,2.3211565209806335,1276.5766738516456,2596.650921444342,0.999513005554085,Averaging,mll
SV025,control,0.355169343130157,0.9047452551174269,0.14162758466695602,0.6614962801955454,2.015119675107991,1276.2856054738002,2596.0687846886512,0.9997537385009698,Averaging,mll
SV026,control,0.9936109098335217,0.4140689808541847,0.16651571403212242,0.4342327401983228,2.334337225254735,539.5801527161135,1122.657879173278,0.9998609487806035,Selection,mll
SV027,control,0.06863453095268907,1.461953429412623,0.22890935190149614,1.4663451908004073,0.0011514373862307268,2275.8744159716716,4595.246405684395,0.998201442078289,Matching,mll
SV028,control,0.6084515927703541,2.0077924952748862,0.38482145953529545,0.7945149392240435,2.1920751007024695,2015.0694129137312,4073.6363995685133,0.9995869100616536,Matching,mll
SV029,control,0.19626474128102667,1.9466109700025316,0.24438559889156689,0.7883829458393316,2.169591419991996,1387.3866979885004,2818.2709697180517,0.9990021553959489,Averaging,mll
SV030,control,0.6315647149984847,0.6370336600182348,0.10075094670768388,0.5321225450214061,2.14686587095063,1036.4738447523544,2116.4452632457596,0.9997316513804941,Averaging,mll
SV031,control,0.9732560298992643,0.7312372055298386,0.13585029922789565,0.524390627231859,2.426622124654903,712.7471244339707,1468.9918226089924,0.999857080636274,Matching,mll
SV032,control,0.05116283266472222,0.8104676273269174,0.10154333419535781,0.45815131665353453,2.0981747843704017,735.3334185175579,1514.1644107761667,0.9999549622333636,Averaging,mll
SV033,control,0.7418258035794049,1.6433448883395403,0.21885586383958944,0.9909244007127839,2.3379831024228386,1257.3926707904996,2558.28291532205,0.9997518340068776,Averaging,mll
